id,Title,Address,Phone,Email,Web,Schedule,About,Image,Reviews_number
1,Equinox Hudson Yards - Temporarily Closed,"32 Hudson Yards, New York, NY 10001",(212) 328-9050,NULL,equinox.com,,"
Equinox operates 100 upscale, full-service clubs in New York, Los Angeles, San Francisco, Miami, Chicago, Boston, Dallas, Houston, Michigan, and Washington, DC, as well as international locations in London, Toronto, and Vancouver. The company offers an integrated selection of Equinox-branded programs, services and products, including strength and cardio training, studio classes, personal training, spa services and products, as well as apparel and food/juice bars. Launched in 2019, Equinox Hotels cater exclusively to the high-performance traveler to serve as the ultimate hotel destination with a 360-degree lifestyle experience. It's Not Fitness. It's Life",https://s3-media0.fl.yelpcdn.com/bphoto/OA3YQKR1uekEJ4BAGYFP0g/l.jpg,40
2,New York Taekwondo,"655 Rossville Ave, New York, NY 10309",(718) 966-6696,NULL,,,,,0
4,Dynamic Body Pilates,"80 Fifth Ave, Ste 1003, New York, NY 10011",(917) 613-1552,NULL,dynamicbodypilates.com,"Mon 7:00 am - 10:00 pm;
Tue 7:00 am - 10:00 pm;
Wed 7:00 am - 10:00 pm;
Thu 7:00 am - 10:00 pm;
Fri 7:00 am - 8:00 pm;
Sat 8:00 am - 7:00 pm;
Sun 10:00 am - 6:30 pm","We provide one-on-one customized Pilates to help people rediscover fitness, mobility, and ease.We train people with a variety of physical concerns and goals (regardless of degree) including people with:-pain and injury issues-neuromuscular challenges-weight issues-aging athletes-individuals for whom movement is a centerpiece of living a fulfilling life.The one thing all of our clients have in common is their desire to optimize their movement -- for life.Dynamic Body Pilates also goes beyond trauma, injury, and pain to fine-tune our clients' bodies so that they can prevent future issues. For all of our clients, Dynamic Body Pilates works to discover your body's innate capabilities -- enhancing and unleashing its full range of potential.We look forward to seeing you at our fully equipped Pilates studio in Union Square or in your NYC-based home or office!
Dynamic Body Pilates was developed for those who want--or need--to equip their body for life. Unlike with mainstream Pilates, we create a personalized, intelligent program just for you. Rather than restricting you to a set series of generic Pilates exercises, we draw from dozens of disciplines--including and beyond Pilates--to custom design your program to accommodate exactly what you need and want your body to do. Dynamic Body Pilates maximizes your specific flexibility, strength, coordination, and agility--while supporting these changes (and protecting you) with expert guidance in posture and alignment. As a result, your body transcends to the next level--regardless of your fitness or conditioning.Whether that means  making it easier to climb stairs or to walk, or becoming a stronger tennis player, we take Pilates principles, and more--and apply them uniquely to you, your lifestyle, and your life.  Dynamic Body Pilates: Your Body. Your Life",https://s3-media0.fl.yelpcdn.com/bphoto/HffeMsZMdbCGEbYQJeEbtA/l.jpg,24
5,Modo Yoga NYC - West Village,"434 6th Ave, Fl 2, New York, NY 10011",(212) 780-9642,NULL,nyc.modoyoga.com,"Mon 6:00 am - 11:00 pm;
Tue 6:00 am - 11:00 pm;
Wed 6:00 am - 11:00 pm;
Thu 6:00 am - 11:00 pm;
Fri 6:00 am - 10:00 pm;
Sat 8:00 am - 9:00 pm;
Sun 8:00 am - 9:00 pm","Modo Yoga is a unique green and clean yoga series that combines the precision of therapeutic yoga and the foundations of traditional yoga in a specially heated room.  It stretches, strengthens and tones the muscles while detoxifying the body and calming the mind.  While all classes are rooted in the Modo Yoga series, teachers are encouraged to bring their own unique knowledge and experience every time they enter the room to teach.
Moksha Yoga NYC is the creation of Sarah Neufeld, Rebecca Foon, Britton Darby, and Guillaume Brun. The four Montrealers found a home as practitioners and teachers in the very vibrant Moksha Yoga community in Montreal, under the mentorship of studio directors Dina Tsoulouhas and Sarah Gallagher. Through much sweat and intention, the dream to bring Moksha to New York has become a reality in January 2012.  We are so thrilled to introduce this supportive, accessible form of hot yoga to the island of Manhattan, and to be part of an exciting, dynamic, blossoming community",https://s3-media0.fl.yelpcdn.com/bphoto/TwujVSlNlX6Ox7ZZ3hv4Kw/l.jpg,168
6,NAO Wellness,"28 W 12th St, New York, NY 10011",(646) 830-4423,NULL,naowellness.com,"Mon 8:00 am - 8:00 pm;
Tue 8:00 am - 8:00 pm;
Wed 8:00 am - 8:00 pm;
Thu 8:00 am - 8:00 pm;
Fri 8:00 am - 8:00 pm;
Sat 9:00 am - 5:00 pm;
Sun 9:00 am - 5:00 pm","NAO Wellness offers a wide range of areas of expertise and services.Services:-Two Infrared Saunas with LED chromo light therapy-Workshops &amp; Events-Meditation and mindfulness classes -A nurses station with vitamin IV pushes, and food intolerance testingAreas of Expertise:Weight loss, Eating Disorders (Anorexia, Bulimia, Compulsive Eating, Food Addiction), Diabetes, Ulcerative Colitis, Digestive disorders, Candida, Fatigue, Food Allergies, Celiac/Gluten Sensitivity, IBS, Constipation,  High Cholesterol, Lymes, Detox &amp; Cleansing, Heart Disease, Cancer, PMS , PCOS,  Fibromyalgia, Premature Aging, Corporate Wellness, Exercise.NAO Wellness's customized nutrition sessions offers individuals the personalized support they need to improve their eating habits and lifestyle choices. As a team, we will incorporate smart, mindful practices into your daily life that are realistic for your busy schedule and your body's individual needs.
",,48
7,Yoga For Cancer Foundation,"666 Broadway, New York, NY 10012",(424) 625-3401,NULL,yogaforcancerfoundation.com,,,,0
8,Black River Dance Studios,"345 Lenox Ave, New York, NY 10027",(646) 302-2191,NULL,,"Mon 12:00 pm - 6:00 pm;
Tue 12:00 pm - 6:00 pm;
Wed 12:00 pm - 6:00 pm;
Thu 12:00 pm - 6:00 pm;
Fri 12:00 pm - 6:00 pm;
Sat Closed;
Sun Closed","Black River Dance Academy provides access to high quality, affordable, and age-appropriate dance instruction for children through adults. We nurture creativity and discipline through traditionally structured dance classes that combine rigor and enjoyment.  Each student receives individual feedback and corrections in order to improve alignment &amp; knowledge and to ensure safety. We offer classes in ballet, modern, jazz, dance fitness, hip hop, and yoga, as well as classes for children. Guest classes include African, musical theater, tap, and more. Friday Afternoon Arts Academy is available to students with early dismissal on Fridays with instruction from 1-5pm. Visit our website for more information!
",https://s3-media0.fl.yelpcdn.com/bphoto/B1q6whi9BmJnLFzTchDlAQ/o.jpg,2
9,5Rhythms,"434 6th Ave 5th Fl, New York City, NY 10011",(212) 760-1381,NULL,5rhythms.com,"Mon Closed;
Tue 7:30 pm - 9:30 pm;
Wed 8:00 pm - 9:30 pm;
Thu Closed;
Fri 7:30 pm - 9:30 pm;
Sat 8:00 pm - 10:00 pm;
Sun 11:00 am - 1:00 pm",,,5
10,SwimJim Swimming Lessons - Midtown West,"725 10th Ave, Skyline Hotel, New York, NY 10019",(212) 749-7335,NULL,swimjim.com,"Mon Closed;
Tue 10:00 am - 12:00 pm & 3:00 pm - 6:00 pm;
Wed Closed;
Thu 3:00 pm - 6:30 pm;
Fri 3:00 pm - 6:00 pm;
Sat 9:00 am - 12:30 pm;
Sun 9:00 am - 12:00 pm","SwimJim, Inc.'s teaching methodology is a safe, thoughtful, ordered approach to swimming, cultivating proficiency in a number of strokes. We believe the success with which our current and past students navigate the water proves our program's effectiveness.The most important aspect of our teaching process is our disciplined but loving dedication to getting children in and comfortable with the water. We are thoughtful and observant of student's behavioral and developmental patterns, and will never scare or intimidate a student. We will respond to their fears and concerns with love, humor and discipline, while guiding them through the necessary steps to become independent, competent swimmers.We deeply enjoy helping with children with special needs and development issues.  They are some of our favorite and best students!  The aquatic environment can provide them with a unique athletic experience other sports cannot.This firm, loving approach is the hallmark of SwimJim.
SwimJim was started in one location with 4 team members and 60 clients.  We only had lessons one day a week. Since that time SwimJim has expanded to multiple locations around New York City and has opened in the Hamptons and Houston Texas. The school now operates 7 days a week and 50 weeks out of the year. During that time of growth we created the Underwater Schoolhouse Teaching methodology added elite level swimmer and Olympic Gold Medalist Catherine Fox to the educational development team.  Together Jim and Catherine have developed a program that is world renowned and they have lectured and done clinics around the world. Their focus is on educating the whole person by addressing the emotional needs as well as the physical needs of the student. As SwimJim Continues to expand and grow, the entire team is focused on learning and discovering new ways to grow, educate and teach all people how to be safer in, on and around the water and enjoy the magic of swimming",https://s3-media0.fl.yelpcdn.com/bphoto/6lh4V5Fj-WpqZVBfPO_ohA/l.jpg,1
11,NYSC Flagship Astor Place,"4 Astor Pl, New York, NY 10003",(917) 877-1400,NULL,newyorksportsclubs.com,,"Downtown luxury redefined - this Flagship location features state of the art equipment, upscale amenities, a beauty bar, spin studio, hydro massage station, and more!
",https://secure-cf-c.ooyala.com/B2YWN2NjE65ajNwz0N3vsD7ibIY54_mL/Ut_HKthATH4eww8X4xMDoxOjBhOzV3Va,120
